load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.79m,4.30m,6.90m,0004175
50,48.39,13.31m,21.73m,27.34m,0002225
100,99.63,2.70m,4.38m,8.08m,
150,150.17,2.57m,4.05m,5.60m,
200,200.16,2.55m,3.99m,5.35m,
250,250.16,2.57m,4.01m,5.60m,
300,300.15,2.56m,4.00m,5.62m,
350,346.84,3.44m,11.52m,15.50m,
400,400.16,2.53m,3.96m,5.33m,
450,452.88,2.54m,4.01m,5.61m,
500,498.51,2.73m,4.64m,9.14m,
1000,1000.13,2.57m,4.02m,5.66m,
2000,1999.25,2.73m,4.38m,6.97m,
4000,3975.09,4.62m,12.98m,21.01m,
6000,5977.04,6.34m,15.02m,26.09m,
8000,7944.61,13.88m,33.60m,60.26m,
10000,9968.19,40.32m,132.99m,246.01m,
12000,10176.26,3.62,5.76,6.70,
14000,10349.06,6.94,10.81,11.83,
16000,10100.54,10.01,14.79,16.19,
18000,10326.38,12.03,17.79,19.07,
20000,10178.95,13.21,20.10,21.86,
22000,10331.70,14.61,21.87,23.64,
24000,10434.72,14.86,23.63,25.23,
26000,10359.90,16.62,24.48,26.66,
28000,10472.98,17.22,26.20,27.95,
30000,10226.63,17.84,27.03,29.25,
35000,10294.25,19.82,28.93,31.42,
40000,10244.14,20.17,30.70,33.13,
45000,10282.79,21.15,31.98,34.37,
50000,10123.23,21.99,33.29,35.55,
