Running 45s test @ http://10.10.1.5:5000
  8 threads and 200 connections
  Thread calibration: mean lat.: 1.504ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.696ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.511ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.489ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.518ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.553ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.685ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.667ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.64ms    5.11ms 230.02ms   99.90%
    Req/Sec   130.80    103.04   444.00     60.29%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.45ms
 75.000%    1.96ms
 90.000%    2.38ms
 99.000%    3.15ms
 99.900%    6.74ms
 99.990%  208.26ms
 99.999%  230.14ms
100.000%  230.14ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.228     0.000000            1         1.00
       0.692     0.100000         3492         1.11
       0.937     0.200000         6975         1.25
       1.139     0.300000        10443         1.43
       1.308     0.400000        13947         1.67
       1.445     0.500000        17411         2.00
       1.519     0.550000        19146         2.22
       1.616     0.600000        20885         2.50
       1.724     0.650000        22631         2.86
       1.840     0.700000        24374         3.33
       1.960     0.750000        26110         4.00
       2.022     0.775000        26976         4.44
       2.087     0.800000        27852         5.00
       2.155     0.825000        28716         5.71
       2.227     0.850000        29589         6.67
       2.299     0.875000        30455         8.00
       2.337     0.887500        30890         8.89
       2.379     0.900000        31326        10.00
       2.427     0.912500        31766        11.43
       2.487     0.925000        32195        13.33
       2.553     0.937500        32629        16.00
       2.589     0.943750        32848        17.78
       2.629     0.950000        33069        20.00
       2.675     0.956250        33279        22.86
       2.729     0.962500        33497        26.67
       2.793     0.968750        33714        32.00
       2.825     0.971875        33824        35.56
       2.861     0.975000        33934        40.00
       2.901     0.978125        34039        45.71
       2.947     0.981250        34151        53.33
       3.005     0.984375        34257        64.00
       3.037     0.985938        34312        71.11
       3.069     0.987500        34365        80.00
       3.123     0.989062        34420        91.43
       3.165     0.990625        34474       106.67
       3.233     0.992188        34529       128.00
       3.265     0.992969        34559       142.22
       3.315     0.993750        34583       160.00
       3.361     0.994531        34612       182.86
       3.427     0.995313        34637       213.33
       3.535     0.996094        34665       256.00
       3.597     0.996484        34678       284.44
       3.643     0.996875        34692       320.00
       3.745     0.997266        34705       365.71
       3.837     0.997656        34719       426.67
       4.057     0.998047        34733       512.00
       4.171     0.998242        34739       568.89
       4.303     0.998437        34746       640.00
       4.939     0.998633        34753       731.43
       5.611     0.998828        34760       853.33
       6.859     0.999023        34767      1024.00
       7.555     0.999121        34770      1137.78
       7.931     0.999219        34773      1280.00
       9.543     0.999316        34777      1462.86
     203.903     0.999414        34780      1706.67
     205.055     0.999512        34784      2048.00
     205.567     0.999561        34785      2275.56
     205.951     0.999609        34787      2560.00
     206.463     0.999658        34789      2925.71
     206.719     0.999707        34791      3413.33
     207.615     0.999756        34793      4096.00
     207.615     0.999780        34793      4551.11
     207.743     0.999805        34794      5120.00
     207.999     0.999829        34795      5851.43
     207.999     0.999854        34795      6826.67
     208.127     0.999878        34796      8192.00
     208.255     0.999890        34797      9102.22
     208.255     0.999902        34797     10240.00
     209.279     0.999915        34798     11702.86
     209.279     0.999927        34798     13653.33
     209.279     0.999939        34798     16384.00
     211.199     0.999945        34799     18204.44
     211.199     0.999951        34799     20480.00
     211.199     0.999957        34799     23405.71
     211.199     0.999963        34799     27306.67
     211.199     0.999969        34799     32768.00
     230.143     0.999973        34800     36408.89
     230.143     1.000000        34800          inf
#[Mean    =        1.643, StdDeviation   =        5.112]
#[Max     =      230.016, Total count    =        34800]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  45008 requests in 45.00s, 16.83MB read
  Non-2xx or 3xx responses: 27133
Requests/sec:   1000.13
Transfer/sec:    382.97KB
